Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2019-09-07 13:45:23.349,0,0,0,104,True,8,car,0 days 01:00:22.256000,0 days 01:00:22.256000
2019-09-07 13:45:23.589,0,0,0,104,True,8,car,0 days 01:00:22.496000,0 days 01:00:22.496000
2019-09-07 13:45:23.829,0,0,0,104,True,8,car,0 days 01:00:22.736000,0 days 01:00:22.736000
2019-09-07 13:45:24.069,0,0,0,104,True,8,car,0 days 01:00:22.976000,0 days 01:00:22.976000
2019-09-07 13:45:24.309,0,0,0,104,True,8,car,0 days 01:00:23.216000,0 days 01:00:23.216000
2019-09-07 13:45:24.510,0,0,0,104,True,8,car,0 days 01:00:23.417000,0 days 01:00:23.417000
2019-09-07 13:45:24.749,0,0,0,104,True,8,car,0 days 01:00:23.656000,0 days 01:00:23.656000
2019-09-07 13:45:24.989,0,0,0,104,True,8,car,0 days 01:00:23.896000,0 days 01:00:23.896000
2019-09-07 13:45:25.229,0,0,0,104,True,8,car,0 days 01:00:24.136000,0 days 01:00:24.136000
2019-09-07 13:45:25.469,0,0,0,104,True,8,car,0 days 01:00:24.376000,0 days 01:00:24.376000
2019-09-07 13:45:25.709,0,0,0,104,True,8,car,0 days 01:00:24.616000,0 days 01:00:24.616000
2019-09-07 13:45:25.949,0,0,0,104,True,8,car,0 days 01:00:24.856000,0 days 01:00:24.856000
2019-09-07 13:45:26.189,0,0,0,104,True,8,car,0 days 01:00:25.096000,0 days 01:00:25.096000
2019-09-07 13:45:26.429,0,0,0,104,True,8,car,0 days 01:00:25.336000,0 days 01:00:25.336000
2019-09-07 13:45:26.669,0,0,0,104,True,8,car,0 days 01:00:25.576000,0 days 01:00:25.576000
2019-09-07 13:45:26.909,0,0,0,104,True,8,car,0 days 01:00:25.816000,0 days 01:00:25.816000
2019-09-07 13:45:27.149,0,0,0,104,True,8,car,0 days 01:00:26.056000,0 days 01:00:26.056000
2019-09-07 13:45:27.389,0,0,0,104,True,8,car,0 days 01:00:26.296000,0 days 01:00:26.296000
2019-09-07 13:45:27.629,0,0,0,104,True,8,car,0 days 01:00:26.536000,0 days 01:00:26.536000
2019-09-07 13:45:27.869,0,0,0,104,True,8,car,0 days 01:00:26.776000,0 days 01:00:26.776000
2019-09-07 13:45:28.109,0,0,0,104,True,8,car,0 days 01:00:27.016000,0 days 01:00:27.016000
2019-09-07 13:45:28.349,0,0,0,104,True,8,car,0 days 01:00:27.256000,0 days 01:00:27.256000
2019-09-07 13:45:28.709,0,0,0,104,True,8,car,0 days 01:00:27.616000,0 days 01:00:27.616000
2019-09-07 13:45:28.949,0,0,0,104,True,8,car,0 days 01:00:27.856000,0 days 01:00:27.856000
2019-09-07 13:45:29.189,0,0,0,104,True,8,car,0 days 01:00:28.096000,0 days 01:00:28.096000
2019-09-07 13:45:29.429,0,0,0,104,True,8,car,0 days 01:00:28.336000,0 days 01:00:28.336000
2019-09-07 13:45:29.669,0,0,0,104,True,8,car,0 days 01:00:28.576000,0 days 01:00:28.576000
2019-09-07 13:45:29.909,0,0,0,104,True,8,car,0 days 01:00:28.816000,0 days 01:00:28.816000
2019-09-07 13:45:30.149,0,0,0,104,True,8,car,0 days 01:00:29.056000,0 days 01:00:29.056000
2019-09-07 13:45:30.389,0,0,0,104,True,8,car,0 days 01:00:29.296000,0 days 01:00:29.296000
2019-09-07 13:45:30.629,0,0,0,104,True,8,car,0 days 01:00:29.536000,0 days 01:00:29.536000
2019-09-07 13:45:30.869,0,0,0,104,True,8,car,0 days 01:00:29.776000,0 days 01:00:29.776000
2019-09-07 13:45:31.070,0,0,0,104,True,8,car,0 days 01:00:29.977000,0 days 01:00:29.977000
2019-09-07 13:45:31.310,0,0,0,104,True,8,car,0 days 01:00:30.217000,0 days 01:00:30.217000
2019-09-07 13:45:31.550,0,0,0,104,True,8,car,0 days 01:00:30.457000,0 days 01:00:30.457000
2019-09-07 13:45:31.789,0,0,0,104,True,8,car,0 days 01:00:30.696000,0 days 01:00:30.696000
2019-09-07 13:45:32.029,0,0,0,104,True,8,car,0 days 01:00:30.936000,0 days 01:00:30.936000
2019-09-07 13:45:32.269,0,0,0,104,True,8,car,0 days 01:00:31.176000,0 days 01:00:31.176000
2019-09-07 13:45:32.509,0,0,0,104,True,8,car,0 days 01:00:31.416000,0 days 01:00:31.416000
2019-09-07 13:45:32.749,0,0,0,104,True,8,car,0 days 01:00:31.656000,0 days 01:00:31.656000
2019-09-07 13:45:32.989,0,0,0,104,True,8,car,0 days 01:00:31.896000,0 days 01:00:31.896000
2019-09-07 13:45:33.229,0,0,0,104,True,8,car,0 days 01:00:32.136000,0 days 01:00:32.136000
